Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method
0x59048e7bb9c840f56ae543d477342c83ddbbab9c7fb9b07755053ae1b2eb1957,31791997,1694866268,9/16/2023 12:11,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x0000000000f73a9daf39d74d785f5886bfbae81b,215.2312315,-
0x24b3a700605c89a366e68fc77b5bff6a37b940f8d022e1e162a3bd1153857d6f,31791997,1694866268,9/16/2023 12:11,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0xdb6f1920a889355780af7570773609bd8cb1f498,647.5459763,0x415565b0
0x24b3a700605c89a366e68fc77b5bff6a37b940f8d022e1e162a3bd1153857d6f,31791997,1694866268,9/16/2023 12:11,0xdb6f1920a889355780af7570773609bd8cb1f498,0xc1e92bd5d1aa6e5f5f299d0490befd9d8e5a887a,1.942372271,0x415565b0
0x24b3a700605c89a366e68fc77b5bff6a37b940f8d022e1e162a3bd1153857d6f,31791997,1694866268,9/16/2023 12:11,0xdb6f1920a889355780af7570773609bd8cb1f498,0x095816c5bd4aa667762c8bf9aef1a449e80573f3,645.603604,0x415565b0
0xd67e41dc5da17dcb01087c6d8a39722b1b16d185749aaa3f2d0c340d8187fb30,31791997,1694866268,9/16/2023 12:11,0x0000000000f73a9daf39d74d785f5886bfbae81b,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,215.2312315,-
0xb253fcc4e23b5c7c35725357c8cf9ea87d929d54a1c466b0915f69a9f56b367d,31791999,1694866274,9/16/2023 12:11,0xc5bf41df02f80d4066fbf553e40c2943af5087c4,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,"1,430.69",-
0xae6c3def08c0a20ca83511c098a0834af8b458954ea226c726e324b92a9b240a,31792009,1694866304,9/16/2023 12:11,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,"1,251.00",Transfer
0x17487a55fd8737952ac3fefaa84830518aee9488e941626ef88d5a91725319a1,31792009,1694866304,9/16/2023 12:11,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,0xc5bf41df02f80d4066fbf553e40c2943af5087c4,"1,421.12",Transfer
0xbea5f47161a85d4b7bfbf1dee301e6a9ba7d9d7710ce83445f69a141aa98fc95,31792011,1694866310,9/16/2023 12:11,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,"1,251.00",Transfer
0x470db81a804aa9d320cc649eff9729d9e0818feb912721932518efd915f460d3,31792129,1694866664,9/16/2023 12:17,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0x82ef9db1e4b1910f5b99335073544b1489a44164,"4,532.50",Claim Distribution
